id,Attractions,Type,Routes,X,Y,describe
41,Melide,Town,Primitivo,43.4082,-6.2569,美食小鎮，以章魚美味與朝聖氛圍著名
42,Pola de Allande,Town,Primitivo,42.914572,-8.013614,山區村落，壯觀景色與傳統文化結合
43,Lugo,City,Primitivo,43.267,-6.617,保存完整的羅馬城牆與歷史街區著名
44,A Fonsagrada,Town,Primitivo,43.016667,-7.55,高海拔村落，著名的自然景觀與歷史遺跡
45,Se do Porto,Church,Primitivo,43.133333,-7.066667,哥德式建築教堂，城市地標
46,Igreja do Carmo,Church,Camino Portugu矇s coastal,41.14301466,-8.611041401,瓷磚外牆教堂，藝術與信仰結合
47,Ponte D. Zameiro,Bridge,Camino Portugu矇s coastal,41.14751785,-8.616229988,古老石橋，提供優美河岸景色
48,Le Cr?pe Da Pia,Restaurant,Camino Portugu矇s coastal,41.35131253,-8.681367459,特色法式煎餅餐廳，深受朝聖者喜愛
49,Conjunto Arqueologico de Italica,Archaeological Site,Camino Portugu矇s coastal,42.07060997,-8.641355396,羅馬遺址，歷史愛好者的必訪之地
50,Catedral de Sevilla,Cathedral,Via de la Plata,37.47889654,-6.041376766,哥德式建築傑作，塞維利亞地標
51,Torre del Oro,Tower,Via de la Plata,37.38595254,-5.993117532,河畔塔樓，塞維利亞的歷史見證
52,Alcazaba,Fortress,Via de la Plata,37.38258075,-5.996226973,雄偉堡壘，展示摩爾文化的遺產
53,Puente Romano de Cordoba,Bridge,Via de la Plata,37.1771845,-3.591599903,歷史悠久的石橋，壯觀的河畔景觀
54,Catedral de San Martino de Ourense,Cathedral,Via de la Plata,37.87678845,-4.777938539,巴洛克式建築，文化與信仰中心
55,Amboage Square,Square,Camino Ingl矇s,42.33814317,-7.86322426,市中心廣場，活動與聚會的重要場所
56,MESON-MUSEO XENTE NO CAMINO,Museum,Camino Ingl矇s,43.49304489,-8.241094364,朝聖者博物館，展示歷史文化與故事
57,Saint Jean Pied de Port,Town,Camino Ingl矇s,43.21244163,-8.271663411,朝聖路的起點，熱鬧的小鎮氣氛
58,Zubiri,Town,Frances,43.165,-1.235556,朝聖路上的寧靜村莊，河景優美
59,Puente de la Reina,Bridge,Frances,42.930272,-1.504309,中世紀石橋，朝聖者的歷史地標
60,Los Arcos,Town,Frances,42.691848,-1.817028,保有傳統建築的鄉村城鎮
61,Najera,Town,Frances,42.566667,-2.183056,有歷史修道院與河畔景色的小鎮
62,Belorado,Town,Frances,42.415833,-2.734167,寧靜村落，有古老建築與文化遺跡
63,Burgos,City,Frances,42.4205,-3.1902,哥德式大教堂與文化活動聞名的大城
64,Castrojeriz,Town,Frances,42.340833,-3.699722,中世紀村莊，古堡遺跡與田園景觀
65,Carrion de los Condes,Town,Frances,42.287778,-4.138889,有歷史教堂與朝聖者熱情氛圍的小鎮
66,Sahagun,Town,Frances,42.338889,-4.601944,文藝復興建築與宗教文化中心
67,Mansilla de las Mulas,Town,Frances,42.3711,-5.0331,迷人村莊，朝聖路上的重要休息站
68,Astorga,Town,Frances,42.4975,-5.416389,美食與歷史建築結合的特色小鎮
69,Ponferrada,Town,Frances,42.4575,-6.0569,擁有壯麗城堡與歷史遺跡的城市
70,Villafranca del Bierzo,Town,Frances,42.5461,-6.5908,朝聖者的熱門停留地，山間景色優美
71,Sarria,Town,Frances,42.60601,-6.81069,朝聖路的出發點之一，歷史氣息濃厚
72,Palas de Rei,Town,Frances,42.77778,-7.41444,小鎮風情，提供朝聖者住宿與餐飲
